data_structure,input_type,node_size,input_size,peak_memory
BruteForce,unsorted,N/A,100,0.00795745849609375
BruteForce,sorted,N/A,100,0.00795745849609375
B+ Tree,unsorted,10,100,0.0053863525390625
B+ Tree,sorted,10,100,0.0055694580078125
B+ Tree,unsorted,15,100,0.0044097900390625
B+ Tree,sorted,15,100,0.004486083984375
B+ Tree,unsorted,20,100,0.00397491455078125
B+ Tree,sorted,20,100,0.00402069091796875
BruteForce,unsorted,N/A,600,0.03182220458984375
BruteForce,sorted,N/A,600,0.03182220458984375
B+ Tree,unsorted,10,600,0.04608154296875
B+ Tree,sorted,10,600,0.05283355712890625
B+ Tree,unsorted,15,600,0.03151702880859375
B+ Tree,sorted,15,600,0.03791046142578125
B+ Tree,unsorted,20,600,0.02750396728515625
B+ Tree,sorted,20,600,0.02935028076171875
BruteForce,unsorted,N/A,1100,0.06441497802734375
BruteForce,sorted,N/A,1100,0.06441497802734375
B+ Tree,unsorted,10,1100,0.08587646484375
B+ Tree,sorted,10,1100,0.09949493408203125
B+ Tree,unsorted,15,1100,0.06078338623046875
B+ Tree,sorted,15,1100,0.07280731201171875
B+ Tree,unsorted,20,1100,0.05145263671875
B+ Tree,sorted,20,1100,0.0562286376953125
BruteForce,unsorted,N/A,1600,0.12972259521484375
BruteForce,sorted,N/A,1600,0.12697601318359375
B+ Tree,unsorted,10,1600,0.1295623779296875
B+ Tree,sorted,10,1600,0.1487884521484375
B+ Tree,unsorted,15,1600,0.09357452392578125
B+ Tree,sorted,15,1600,0.10903167724609375
B+ Tree,unsorted,20,1600,0.07791900634765625
B+ Tree,sorted,20,1600,0.08493804931640625
BruteForce,unsorted,N/A,2100,0.12972259521484375
BruteForce,sorted,N/A,2100,0.12697601318359375
B+ Tree,unsorted,10,2100,0.1717376708984375
B+ Tree,sorted,10,2100,0.19615936279296875
B+ Tree,unsorted,15,2100,0.1236724853515625
B+ Tree,sorted,15,2100,0.14376068115234375
B+ Tree,unsorted,20,2100,0.104034423828125
B+ Tree,sorted,20,2100,0.1127471923828125
BruteForce,unsorted,N/A,2600,0.12697601318359375
BruteForce,sorted,N/A,2600,0.12697601318359375
B+ Tree,unsorted,10,2600,0.2162017822265625
B+ Tree,sorted,10,2600,0.2580728530883789
B+ Tree,unsorted,15,2600,0.15257740020751953
B+ Tree,sorted,15,2600,0.17987823486328125
B+ Tree,unsorted,20,2600,0.13033294677734375
B+ Tree,sorted,20,2600,0.14095306396484375
BruteForce,unsorted,N/A,3100,0.25502777099609375
BruteForce,sorted,N/A,3100,0.25502777099609375
B+ Tree,unsorted,10,3100,0.26055049896240234
B+ Tree,sorted,10,3100,0.290618896484375
B+ Tree,unsorted,15,3100,0.18265533447265625
B+ Tree,sorted,15,3100,0.21384429931640625
B+ Tree,unsorted,20,3100,0.15364837646484375
B+ Tree,sorted,20,3100,0.16748046875
BruteForce,unsorted,N/A,3600,0.25502777099609375
BruteForce,sorted,N/A,3600,0.25502777099609375
B+ Tree,unsorted,10,3600,0.3027486801147461
B+ Tree,sorted,10,3600,0.3374481201171875
B+ Tree,unsorted,15,3600,0.213104248046875
B+ Tree,sorted,15,3600,0.2484283447265625
B+ Tree,unsorted,20,3600,0.17841339111328125
B+ Tree,sorted,20,3600,0.19423675537109375
BruteForce,unsorted,N/A,4100,0.25502777099609375
BruteForce,sorted,N/A,4100,0.25502777099609375
B+ Tree,unsorted,10,4100,0.3411865234375
B+ Tree,sorted,10,4100,0.3847198486328125
B+ Tree,unsorted,15,4100,0.24187469482421875
B+ Tree,sorted,15,4100,0.2830047607421875
B+ Tree,unsorted,20,4100,0.2027740478515625
B+ Tree,sorted,20,4100,0.2215576171875
BruteForce,unsorted,N/A,4600,0.25502777099609375
BruteForce,sorted,N/A,4600,0.25502777099609375
B+ Tree,unsorted,10,4600,0.3817291259765625
B+ Tree,sorted,10,4600,0.43236541748046875
B+ Tree,unsorted,15,4600,0.274566650390625
B+ Tree,sorted,15,4600,0.318389892578125
B+ Tree,unsorted,20,4600,0.23026275634765625
B+ Tree,sorted,20,4600,0.24908447265625
BruteForce,unsorted,N/A,5100,0.25502777099609375
BruteForce,sorted,N/A,5100,0.25502777099609375
B+ Tree,unsorted,10,5100,0.42754364013671875
B+ Tree,sorted,10,5100,0.48041534423828125
B+ Tree,unsorted,15,5100,0.301910400390625
B+ Tree,sorted,15,5100,0.35373687744140625
B+ Tree,unsorted,20,5100,0.25628662109375
B+ Tree,sorted,20,5100,0.27735137939453125
BruteForce,unsorted,N/A,5600,0.25502777099609375
BruteForce,sorted,N/A,5600,0.5118026733398438
B+ Tree,unsorted,10,5600,0.47430419921875
B+ Tree,sorted,10,5600,0.5290985107421875
B+ Tree,unsorted,15,5600,0.3339691162109375
B+ Tree,sorted,15,5600,0.3898162841796875
B+ Tree,unsorted,20,5600,0.28046417236328125
B+ Tree,sorted,20,5600,0.30594635009765625
BruteForce,unsorted,N/A,6100,0.5118026733398438
BruteForce,sorted,N/A,6100,0.5118026733398438
B+ Tree,unsorted,10,6100,0.51641845703125
B+ Tree,sorted,10,6100,0.5782546997070312
B+ Tree,unsorted,15,6100,0.3646087646484375
B+ Tree,sorted,15,6100,0.42681884765625
B+ Tree,unsorted,20,6100,0.30840301513671875
B+ Tree,sorted,20,6100,0.3354034423828125
BruteForce,unsorted,N/A,6600,0.5118026733398438
BruteForce,sorted,N/A,6600,0.5118026733398438
B+ Tree,unsorted,10,6600,0.5523529052734375
B+ Tree,sorted,10,6600,0.62249755859375
B+ Tree,unsorted,15,6600,0.3905181884765625
B+ Tree,sorted,15,6600,0.457550048828125
B+ Tree,unsorted,20,6600,0.3289642333984375
B+ Tree,sorted,20,6600,0.3589630126953125
BruteForce,unsorted,N/A,7100,0.5118026733398438
BruteForce,sorted,N/A,7100,0.5118026733398438
B+ Tree,unsorted,10,7100,0.5940322875976562
B+ Tree,sorted,10,7100,0.672607421875
B+ Tree,unsorted,15,7100,0.4225921630859375
B+ Tree,sorted,15,7100,0.49588775634765625
B+ Tree,unsorted,20,7100,0.3571929931640625
B+ Tree,sorted,20,7100,0.38909149169921875
BruteForce,unsorted,N/A,7600,0.5118026733398438
BruteForce,sorted,N/A,7600,0.5118026733398438
B+ Tree,unsorted,10,7600,0.6351699829101562
B+ Tree,sorted,10,7600,0.7233428955078125
B+ Tree,unsorted,15,7600,0.45914459228515625
B+ Tree,sorted,15,7600,0.534210205078125
B+ Tree,unsorted,20,7600,0.390472412109375
B+ Tree,sorted,20,7600,0.41979217529296875
BruteForce,unsorted,N/A,8100,0.5118026733398438
BruteForce,sorted,N/A,8100,0.5118026733398438
B+ Tree,unsorted,10,8100,0.6847381591796875
B+ Tree,sorted,10,8100,0.7667617797851562
B+ Tree,unsorted,15,8100,0.48354339599609375
B+ Tree,sorted,15,8100,0.5656509399414062
B+ Tree,unsorted,20,8100,0.4099578857421875
B+ Tree,sorted,20,8100,0.443572998046875
BruteForce,unsorted,N/A,8600,0.5118026733398438
BruteForce,sorted,N/A,8600,0.5118026733398438
B+ Tree,unsorted,10,8600,0.7205734252929688
B+ Tree,sorted,10,8600,0.8184967041015625
B+ Tree,unsorted,15,8600,0.520233154296875
B+ Tree,sorted,15,8600,0.6046829223632812
B+ Tree,unsorted,20,8600,0.43901824951171875
B+ Tree,sorted,20,8600,0.475189208984375
BruteForce,unsorted,N/A,9100,0.5118026733398438
BruteForce,sorted,N/A,9100,0.5118026733398438
B+ Tree,unsorted,10,9100,0.772705078125
B+ Tree,sorted,10,9100,0.8621749877929688
B+ Tree,unsorted,15,9100,0.546295166015625
B+ Tree,sorted,15,9100,0.6356582641601562
B+ Tree,unsorted,20,9100,0.4613494873046875
B+ Tree,sorted,20,9100,0.49903106689453125
BruteForce,unsorted,N/A,9600,0.5118026733398438
BruteForce,sorted,N/A,9600,0.5118026733398438
B+ Tree,unsorted,10,9600,0.81719970703125
B+ Tree,sorted,10,9600,0.9151763916015625
B+ Tree,unsorted,15,9600,0.5780792236328125
B+ Tree,sorted,15,9600,0.6761398315429688
B+ Tree,unsorted,20,9600,0.486602783203125
B+ Tree,sorted,20,9600,0.5316543579101562
